chain,item,field,reason
greggs,Tuna Mayonnaise & Cucumber Sandwich,calories,"Not added: greggs.com product data (333 kcal, 7.6 g fat, 4.2 g sugar) and nutrition PDF of 2026-09-10 (329 kcal, 7.2 g fat, 6.2 g sugar) disagree. Re-check before adding."
chipotle,High Protein - Low Calorie Bowl,protein_g,Nutrition calculator says 35 g (used). Chipotle's GLP-1 support page (chipotle.com/glp-1-support) says 36 g. Recheck.
raising-canes,Chicken Finger (1),fiber_g,"Official PDF lists ""< 1 g"" (not an exact value)"
raising-canes,Cane's Sauce,fiber_g,"Official PDF lists ""< 1 g"" (not an exact value)"
qdoba,Quesabirria Burrito,fat_g,Source conflict inside official PDF: 95 g fat vs 380 calories from fat; item left out
qdoba,Quesabirria Quesadilla,fat_g,Source conflict inside official PDF: 127 g fat vs 670 calories from fat; item left out
el-pollo-loco,Double Chicken Bowl,name,"Source conflict: Protein Menu page calls the 74 g bowl ""Double Chicken Avocado Bowl""; nutrition PDF calls it ""Double Chicken Bowl"" (used PDF name/values)"
mcdonalds-india,(all items),fiber_g,North & East booklet does not list fiber
mcdonalds-india,Chicken Nuggets (6 pc),carbs_g,Booklet nuggets page lists no carbohydrate
mcdonalds-india,Chicken Nuggets (6 pc),sugar_g,Booklet nuggets page lists no sugar
mcdonalds-india,Fries (Medium),carbs_g,Booklet fries page lists no carbohydrate
mcdonalds-india,Fries (Medium),sugar_g,Booklet fries page lists no sugar
mcdonalds-india,(all items),(source),"Two operators publish different booklets; used North & East (Dec 2025), not West & South (mcdonaldsindia.com PDF, Apr 2024). West & South menu and values may differ"
dominos-india,(all items),fiber_g,Domino's India nutrition images do not list fiber
kfc-india,(all items),fiber_g,KFC India booklet V6 does not list fiber
kfc-india,Double Chicken Roll,sugar_g,"Booklet p10 lists 10 g, p21 lists 10.26 g; used p10 (10 g)"
burger-king-india,(all items),fiber_g,Burger King India July 2026 sheet does not list fiber
subway-india,(all items),fiber_g,Subway India August 2026 chart does not list fiber
pizza-hut-india,Triple Chicken Feast Pan Pizza (Personal),sugar_g,Source says ND (not detected; LOQ 1 g/100 g)
pizza-hut-india,Chicken Supreme Pan Pizza (Personal),sugar_g,Source says ND (not detected; LOQ 1 g/100 g)
pizza-hut-india,Chicken Tikka Supreme Pan Pizza (Personal),sugar_g,Source says ND (not detected; LOQ 1 g/100 g)
pizza-hut-india,Murg Malai Chicken Pan Pizza (Personal),sugar_g,Source says ND (not detected; LOQ 1 g/100 g)
pizza-hut-india,Chicken Tikka Pan Pizza (Personal),sugar_g,Source says ND (not detected; LOQ 1 g/100 g)
pizza-hut-india,Spiced Paneer Pan Pizza (Personal),sugar_g,Source says ND (not detected; LOQ 1 g/100 g)
